time_ms,ax,ay,az,gx,gy,gz,mx,my,mz,qw,qx,qy,qz,heading
12985487.0,-0.06,0.11,-1.01,0.18,0.67,0.24,85.52,136.53,-28.81,0.0198,0.517,0.8547,0.0429,32.06
12985498.0,-0.06,0.09,-1.01,0.3,0.91,0.3,86.27,137.28,-27.46,0.0198,0.5171,0.8546,0.0429,32.15
12985510.0,-0.07,0.1,-1.02,0.3,1.34,0.37,85.52,135.93,-28.51,0.0198,0.5171,0.8546,0.0429,32.18
12985521.0,-0.04,0.08,-1.04,0.12,1.77,0.37,87.02,136.98,-28.51,0.0198,0.5171,0.8546,0.0429,32.43
12985533.0,0.01,0.08,-0.99,0.18,2.01,0.43,85.37,136.83,-28.36,0.0198,0.5171,0.8546,0.0429,31.96
12985544.0,0.03,0.1,-0.99,0.0,2.01,0.43,87.17,137.88,-28.66,0.0198,0.5171,0.8546,0.0429,32.3
12985555.0,0.03,0.1,-0.95,0.06,1.71,0.49,86.27,136.98,-28.21,0.0198,0.5172,0.8546,0.0428,32.2
12985567.0,0.01,0.1,-0.97,0.12,1.04,0.43,85.52,137.73,-29.26,0.0198,0.5172,0.8546,0.0428,31.84
12985578.0,-0.02,0.11,-1.0,0.0,0.67,0.18,86.42,136.38,-28.36,0.0198,0.5172,0.8546,0.0429,32.36
12985590.0,-0.04,0.1,-0.97,0.43,0.67,0.43,85.07,136.38,-29.71,0.0198,0.5172,0.8545,0.0429,31.95
12985601.0,-0.07,0.11,-1.0,0.06,0.85,0.24,85.37,135.03,-28.36,0.0198,0.5173,0.8545,0.0429,32.3
12985613.0,-0.06,0.1,-1.03,0.18,1.22,0.43,86.27,136.23,-28.51,0.0198,0.5173,0.8545,0.043,32.34
12985624.0,-0.04,0.08,-1.04,0.24,1.59,0.43,86.27,136.23,-28.51,0.0198,0.5173,0.8545,0.043,32.34
12985635.0,0.01,0.1,-0.99,0.24,2.01,0.55,86.27,138.33,-28.81,0.0198,0.5173,0.8545,0.0429,31.95
12985647.0,0.02,0.11,-1.0,-0.06,1.95,0.43,85.52,136.98,-28.81,0.0198,0.5174,0.8545,0.0429,31.98
12985658.0,0.02,0.11,-0.98,0.12,1.65,0.24,86.27,136.23,-28.51,0.0199,0.5174,0.8545,0.043,32.34
12985670.0,0.01,0.1,-0.98,0.12,1.22,0.37,86.27,136.98,-28.21,0.0199,0.5174,0.8544,0.043,32.2
12985681.0,-0.01,0.11,-0.99,0.12,0.73,0.24,85.82,137.13,-28.36,0.0199,0.5174,0.8544,0.043,32.04
12985693.0,-0.04,0.1,-1.0,0.18,0.67,0.24,85.52,137.73,-28.21,0.0198,0.5174,0.8544,0.043,31.84
12985704.0,-0.06,0.1,-1.0,0.18,0.73,0.3,85.22,138.03,-27.76,0.0198,0.5175,0.8544,0.043,31.69
12985716.0,-0.06,0.09,-1.01,0.3,1.22,0.24,86.72,137.73,-28.81,0.0197,0.5175,0.8544,0.043,32.2
12985727.0,-0.05,0.1,-1.04,0.12,1.65,0.55,86.27,137.28,-28.21,0.0198,0.5175,0.8544,0.0431,32.15
12985738.0,0.0,0.09,-1.0,0.12,2.01,0.43,87.02,138.78,-28.21,0.0198,0.5175,0.8544,0.043,32.09
12985750.0,0.02,0.09,-0.99,0.06,2.01,0.37,86.42,137.13,-28.36,0.0198,0.5175,0.8543,0.043,32.22
12985761.0,0.03,0.1,-0.97,0.06,1.65,0.43,86.27,137.28,-28.21,0.0198,0.5176,0.8543,0.043,32.15
12985773.0,0.02,0.11,-0.97,0.0,1.34,0.49,85.07,136.38,-28.66,0.0198,0.5176,0.8543,0.043,31.95
12985784.0,-0.01,0.11,-0.99,0.12,0.73,0.37,86.12,136.83,-28.06,0.0198,0.5176,0.8543,0.0431,32.19
12985795.0,-0.05,0.09,-0.99,0.18,0.55,0.3,86.27,136.23,-29.26,0.0197,0.5176,0.8543,0.0431,32.34
12985807.0,-0.07,0.1,-1.01,0.18,0.79,0.37,85.97,136.98,-27.46,0.0197,0.5177,0.8543,0.0431,32.11
